date,rides
1-Nov-18,287967
2-Nov-18,340074
3-Nov-18,377623
4-Nov-18,302315
5-Nov-18,244772
6-Nov-18,258624
7-Nov-18,271728
8-Nov-18,298045
9-Nov-18,374488
10-Nov-18,391208
11-Nov-18,303850
12-Nov-18,257084
13-Nov-18,277267
14-Nov-18,286924
15-Nov-18,313015
16-Nov-18,361974
17-Nov-18,378690
18-Nov-18,290610
19-Nov-18,247000
20-Nov-18,261499
21-Nov-18,280937
22-Nov-18,195991
23-Nov-18,225478
24-Nov-18,277272
25-Nov-18,236158
26-Nov-18,238452
27-Nov-18,282040
28-Nov-18,280329
29-Nov-18,293436
30-Nov-18,345561
1-Dec-18,390082
2-Dec-18,279087
3-Dec-18,250663
4-Dec-18,257592
5-Dec-18,275282
6-Dec-18,316051
7-Dec-18,388178
8-Dec-18,400157
9-Dec-18,295289
10-Dec-18,251718
11-Dec-18,257334
12-Dec-18,279402
13-Dec-18,320131
14-Dec-18,381593
15-Dec-18,395826
16-Dec-18,303168
17-Dec-18,252632
18-Dec-18,261484
19-Dec-18,279505
20-Dec-18,300271
21-Dec-18,341318
22-Dec-18,309971
23-Dec-18,235641
24-Dec-18,164860
25-Dec-18,109903
26-Dec-18,177924
27-Dec-18,228443
28-Dec-18,282488
29-Dec-18,305266
30-Dec-18,280199
31-Dec-18,109584
1-Jan-19,297010
2-Jan-19,213631
3-Jan-19,226495
4-Jan-19,277396
5-Jan-19,296107
6-Jan-19,258491
7-Jan-19,233607
8-Jan-19,227944
9-Jan-19,264425
10-Jan-19,286210
11-Jan-19,338270
12-Jan-19,372144
13-Jan-19,262499
14-Jan-19,242367
15-Jan-19,254897
16-Jan-19,263975
17-Jan-19,285115
18-Jan-19,347208
19-Jan-19,352631
20-Jan-19,311343
21-Jan-19,251522
22-Jan-19,271637
23-Jan-19,283986
24-Jan-19,314915
25-Jan-19,381887
26-Jan-19,383958
27-Jan-19,288000
28-Jan-19,243656
29-Jan-19,290705
30-Jan-19,170454
31-Jan-19,292498
1-Feb-19,368969
2-Feb-19,371227
3-Feb-19,290103
4-Feb-19,252479
5-Feb-19,264662
6-Feb-19,277595
7-Feb-19,313272
8-Feb-19,388594
9-Feb-19,384745
10-Feb-19,276712
11-Feb-19,260670
12-Feb-19,275231
13-Feb-19,294756
14-Feb-19,315614
15-Feb-19,377832
16-Feb-19,392786
17-Feb-19,299919
18-Feb-19,252543
19-Feb-19,265896
20-Feb-19,284163
21-Feb-19,319512
22-Feb-19,384906
23-Feb-19,415926
24-Feb-19,305589
25-Feb-19,284226
26-Feb-19,293904
27-Feb-19,305956
28-Feb-19,331528
1-Mar-19,391380
2-Mar-19,405173
3-Mar-19,316349
4-Mar-19,321636
5-Mar-19,320786
6-Mar-19,320112
7-Mar-19,337046
8-Mar-19,383981
9-Mar-19,415393
10-Mar-19,287863
11-Mar-19,273833
12-Mar-19,284126
13-Mar-19,298564
14-Mar-19,333802
15-Mar-19,415924
16-Mar-19,513991
17-Mar-19,329517
18-Mar-19,270505
19-Mar-19,267143
20-Mar-19,292330
21-Mar-19,313546
22-Mar-19,370313
23-Mar-19,379737
24-Mar-19,286944
25-Mar-19,256004
26-Mar-19,261082
27-Mar-19,270512
28-Mar-19,292513
29-Mar-19,368901
30-Mar-19,389505
31-Mar-19,300632
1-Apr-19,265881
2-Apr-19,268697
3-Apr-19,281141
4-Apr-19,324808
5-Apr-19,363407
6-Apr-19,385164
7-Apr-19,283844
8-Apr-19,269763
9-Apr-19,270222
10-Apr-19,313081
11-Apr-19,320597
12-Apr-19,374448
13-Apr-19,390771
14-Apr-19,313764
15-Apr-19,259585
16-Apr-19,260457
17-Apr-19,261642
18-Apr-19,319134
19-Apr-19,350568
20-Apr-19,343203
21-Apr-19,255479
22-Apr-19,249192
23-Apr-19,265381
24-Apr-19,277483
25-Apr-19,303557
26-Apr-19,360268
27-Apr-19,419649
28-Apr-19,285706
29-Apr-19,278625
30-Apr-19,296294
1-May-19,290388
2-May-19,329941
3-May-19,373490
4-May-19,400006
5-May-19,316104
6-May-19,273649
7-May-19,280524
8-May-19,271461
9-May-19,307941
10-May-19,366363
11-May-19,389888
